label,direction,confidence,btc_price_entry,fear_greed_value,rsi14,technical_score,hour_utc,hour_sin,hour_cos,cvd_6m_pct,ema_trend_up,technical_bias_bullish,signal_technical_buy,signal_sentiment_pos,signal_fg_fear,signal_volume_high,classification
0,DOWN,0.52,63896.73,8.0,70.24,2.5,15,-0.707107,-0.707107,,0,1,0,0,1,0,SKIP
0,UP,0.53,67721.99,9.0,54.45,1.5,15,-0.707107,-0.707107,,0,1,0,0,0,0,NO_BET
1,DOWN,0.51,64253.56,8.0,46.15,-0.5,2,0.5,0.866025,,0,0,0,0,1,0,SKIP
1,UP,0.75,65740.6,11.0,85.68,2.5,1,0.258819,0.965926,,0,1,0,0,0,0,ALERT
1,DOWN,0.65,64013.04,8.0,60.32,2.5,16,-0.866025,-0.5,,0,1,0,0,1,0,ALERT
1,UP,0.58,67721.28,9.0,54.95,3.5,15,-0.707107,-0.707107,,0,1,0,0,1,0,BET
0,DOWN,0.55,65517.22,11.0,50.0,0.0,9,0.707107,-0.707107,,0,0,0,0,1,0,SKIP
0,DOWN,0.51,63950.41,8.0,35.48,-4.5,21,-0.707107,0.707107,,0,0,0,0,1,0,SKIP
0,DOWN,0.51,64142.8,8.0,53.9,0.5,18,-1.0,-0.0,,0,0,0,0,1,0,SKIP
1,DOWN,0.64,64026.83,8.0,40.5,-3.5,3,0.707107,0.707107,,0,0,0,0,1,0,ALERT
0,DOWN,0.57,63128.6,8.0,44.03,-0.5,9,0.707107,-0.707107,,0,0,0,0,1,0,SKIP
1,UP,0.75,65872.6,11.0,36.0,5.0,12,0.0,-1.0,,0,1,0,0,0,0,ALERT
0,UP,0.74,66344.13,5.0,57.17,4.5,12,0.0,-1.0,,0,1,0,0,1,0,BET
1,UP,0.75,65177.66,11.0,57.23,4.5,8,0.866025,-0.5,,0,1,0,0,0,0,ALERT
1,DOWN,0.35,64882.69,5.0,60.01,2.5,22,-0.5,0.866025,,0,1,0,0,0,0,SKIP
1,UP,0.6,67529.14,9.0,63.63,3.5,21,-0.707107,0.707107,,0,1,0,0,1,0,BET
1,DOWN,0.72,62910.07,8.0,36.57,-4.5,13,-0.258819,-0.965926,,0,0,0,0,1,0,ALERT
0,UP,0.68,68077.5,9.0,58.23,4.0,10,0.5,-0.866025,,0,1,0,0,1,0,BET
0,UP,0.75,65893.48,11.0,61.85,1.5,2,0.5,0.866025,,0,1,0,0,0,0,BET
